Statistical Population,True Prevalence,New Clinical Cases,Infectious Vectors,Rainfall,Air Temperature,Time,Day,Year,date,Run_Number
2006,0.9496510624886,18,0.0619090385735,2.054255485535,27.7908744812,256,256,2022,2022-09-13,0
2006,0.9491525292397,14,0.06330811977386,15.15870571136,26.96639442444,257,257,2022,2022-09-14,0
2006,0.9501495361328,21,0.06829987466335,14.0923614502,24.94371032715,258,258,2022,2022-09-15,0
2005,0.9506234526634,20,0.07059160619974,1.583680152893,26.34230804443,259,259,2022,2022-09-16,0
2005,0.9501246809959,20,0.07492294162512,3.534113645554,27.43469238281,260,260,2022,2022-09-17,0
2005,0.9506234526634,17,0.083969168365,0.9133360981941,27.75004768372,261,261,2022,2022-09-18,0
2005,0.9506234526634,15,0.08385956287384,0.2089288383722,27.73716926575,262,262,2022,2022-09-19,0
2005,0.9516209363937,17,0.08890428394079,5.272917747498,25.1343460083,263,263,2022,2022-09-20,0
2005,0.9521197080612,21,0.08943761885166,0.3494735956192,27.24703979492,264,264,2022,2022-09-21,0
2005,0.9511221647263,19,0.0912711918354,0.5684776306152,27.49792289734,265,265,2022,2022-09-22,0
2006,0.9501495361328,23,0.09541909396648,0.5272273421288,28.30916404724,266,266,2022,2022-09-23,0
2006,0.951146543026,19,0.1012610793114,0.5431918501854,28.86920928955,267,267,2022,2022-09-24,0
2007,0.9506726264954,26,0.1013398244977,2.623572349548,27.30575752258,268,268,2022,2022-09-25,0
2009,0.9502239823341,22,0.1063106134534,0.1709427684546,27.97067070007,269,269,2022,2022-09-26,0
2010,0.9497512578964,22,0.111373372376,0.8607848882675,27.56916809082,270,270,2022,2022-09-27,0
2011,0.9502735137939,24,0.1106187552214,0.3678890168667,27.445728302,271,271,2022,2022-09-28,0
2011,0.951268017292,33,0.1033307090402,1.751981973648,27.81617736816,272,272,2022,2022-09-29,0
2011,0.9527598023415,25,0.11286983639,0.4325135946274,28.95190429688,273,273,2022,2022-09-30,0
2011,0.9517652988434,27,0.1098849996924,0.2282667905092,29.357629776,274,274,2022,2022-10-01,0
2011,0.9527598023415,21,0.1158234253526,0.2232862561941,29.57903862,275,275,2022,2022-10-02,0
2011,0.951268017292,27,0.1166894286871,0.07646867632866,29.46570205688,276,276,2022,2022-10-03,0
